playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
18,0,0,0,0,12,end,NA,1692281372,1692281380,1559865d59c6547b512b5d1a3061d425,173.184.11,31.3208#-95.3928,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19,0,0,0,0,12,end,NA,1692281700,1692281711,eb7a909e968507b15069aaa763478542,174.106.10,34.9541#-78.7395,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20,0,0,0,0,12,end,NA,1692281109,1692281112,1b35b98f669af3749054aaf52dd2ba61,75.97.178.,41.0106#-76.4442,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
21,0,0,0,0,12,end,NA,1692281073,1692281080,9ce1faf6df3be276bc095f1e0911f7e8,35.145.129,28.8446#-82.0376,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
22,0,0,0,0,12,end,NA,1692281187,1692281198,1b040f034f60f9ca77983e76a7a03d1c,73.123.111,43.011#-71.4571,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
23,0,0,0,0,12,end,NA,1692281541,1692281552,93aeda71d30faab0bbb202200c6b8b95,74.77.245.,42.3978#-79.4334,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
24,0,0,0,0,1,check,NA,1692280410,1692280415,3c1b655a5ac228871be2de1fbb77815e,208.66.246,36.8484#-88.6814,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
25,0,0,0,0,12,end,NA,1692281237,1692281250,dc644c8afae8e72319b7e17dba196e85,12.231.156,42.4943#-83.2072,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
26,0,0,0,0,12,end,NA,1692281754,1692281768,34c06c1170155e4b586676aa80dd56d0,47.220.214,30.3217#-95.5285,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
27,0,0,0,0,1,check,NA,1692280500,1692280504,3a684ba3d6e5072dafdbb6c15bacac53,63.88.73.6,39.9206#-75.1826,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
28,0,0,0,0,12,end,NA,1692281200,1692281208,1dcd3ba2392fa54529397b248076da3a,76.224.17.,38.1025#-122.2132,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
29,0,0,0,0,12,end,NA,1692281624,1692281632,0cdd459e14302396a73652d4a04859d4,47.133.66.,36.8536#-76.469,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
30,0,0,0,0,12,end,NA,1692281166,1692281179,60dbecfb55216b56e4434a1b7d6729f2,69.127.116,40.871#-73.051,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
31,0,0,0,0,12,end,NA,1692281598,1692281621,8eb47478e0fdffb8334ff4e989089ee5,71.68.183.,35.2842#-80.8719,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
32,0,0,0,0,12,end,NA,1692281698,1692281715,280038b92e72249463235fb91b8acda6,35.133.17.,46.1303#-112.9752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
33,0,0,0,0,12,end,NA,1692281648,1692281655,301d176b2f83508aea5bd6c58a34abb4,47.205.140,28.149#-82.0411,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
34,0,0,0,0,12,end,NA,1692281486,1692281495,fbbd8789ef641f438aa64f7a66a074eb,104.240.77,39.522#-80.3552,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
35,0,0,0,0,12,end,NA,1692283158,1692283177,a2e679b6dca69b2867f2833330162df9,72.189.184,29.4843#-81.2042,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
36,0,0,0,0,12,end,NA,1692281887,1692281903,855d8616d872639db041f56af9bcb3fa,104.58.191,33.6528#-85.8417,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
37,0,0,0,0,12,end,NA,1692282055,1692282077,84abd01137601865dba29c8cce1d696d,104.57.153,34.8987#-82.7073,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
38,0,0,0,0,12,end,NA,1692281870,1692281883,7d09e26ba5bede7b5b299a3b436dca06,68.193.24.,40.6763#-73.9492,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
39,0,0,0,0,12,end,NA,1692281768,1692281776,8265ba29036c6f5754b8cfeda64b6987,73.200.101,39.1021#-76.6209,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
40,0,0,0,0,1,consent,NA,1692282547,1692282548,e41c5a376c0e64116470233182a42996,73.206.209,29.8636#-95.2054,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
41,0,0,0,0,12,end,NA,1692282601,1692282607,969ef5b3c5df22bf98e5c508694472a4,71.185.184,39.9233#-75.2313,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
42,0,0,0,0,12,end,NA,1692281726,1692281731,d63ee13458b4154f60ac23ebea8ba8c8,66.74.109.,33.7237#-116.3803,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
43,0,0,0,0,12,end,NA,1692283509,1692283537,edfd8ea040b848f5c0b9dd75930943c6,68.83.37.1,40.5833#-74.277,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
44,0,0,0,0,12,end,NA,1692283166,1692283179,2354a30176ff49f0d24adf0e7773422e,50.86.114.,30.3728#-89.3779,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
45,0,0,0,0,12,end,NA,1692281802,1692281812,45e62aa71c848fb029cf4eb8c8491ea0,76.234.132,34.8775#-92.2265,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
46,0,0,0,0,12,end,NA,1692281872,1692281897,211cd12d070480e24c1ef9c3d87f5fae,24.254.29.,37.2557#-79.9812,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
47,0,0,0,0,12,end,NA,1692281923,1692281933,c519e87423c2a7d42a3d4a07c13c8bde,173.243.17,39.1397#-86.5141,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
48,0,0,0,0,12,end,NA,1692281680,1692281686,84392c191f391340391db99e2c5127d8,70.94.134.,29.7229#-98.0742,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
49,0,0,0,0,12,end,NA,1692281868,1692281886,1718572ece5ccda4200877ed17211fea,74.46.235.,42.9884#-89.0237,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
50,0,0,0,0,12,end,NA,1692281872,1692281879,edfbdaa972ef071b2c3cfea9ee76035b,173.31.0.2,41.8829#-88.4587,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
51,0,0,0,0,12,end,NA,1692285406,1692285422,9adb693c2d16b8e35e1ac67b53914038,146.115.20,40.595#-75.5289,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
52,0,0,0,0,12,end,NA,1692284105,1692284108,1f9d5a0f793718a7dcb32250a06350e6,173.66.154,38.8263#-77.2111,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
53,0,0,0,0,12,end,NA,1692281919,1692281925,7faa3cea2a54002b024de5540e4bda05,45.18.134.,42.4933#-83.135,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
54,0,0,0,0,12,end,NA,1692282135,1692282147,ab41f9e39ab4a686c5f7aa5ae291442c,73.158.239,38.2442#-122.678,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
55,0,0,0,0,12,end,NA,1692283958,1692283993,4b696712b86744dfaa120ab56d866665,172.59.152,40.6596#-111.9195,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
56,0,0,0,0,12,end,NA,1692283930,1692283941,50ae4552bb13ec1ee249d6ae3d55ca33,76.168.66.,33.9322#-118.2488,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
57,0,0,0,0,12,end,NA,1692284391,1692284416,e02db53a465d09901c4ff0de72fe4e3f,97.127.59.,44.9402#-93.2188,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
58,0,0,0,0,12,end,NA,1692286628,1692286642,75d0660d8b170e01151fd3ec50d5b6e0,68.7.71.13,32.7638#-117.07,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
